fecha,pais,validacion,numasn
2022-4-01,PA,68.75,13
2022-4-01,PE,66.6666666666667,5
2022-4-01,PR,25.0,2
2022-4-01,PY,75.0,5
2022-4-01,TT,83.9285714285714,3
2022-4-01,UY,40.0,4
2022-4-01,VE,53.921568627451,8
2022-5-01,AR,52.6513344205652,31
2022-5-01,BO,45.4545454545455,9
2022-5-01,BR,77.982100063579,56
2022-5-01,BZ,100.0,3
2022-5-01,CL,53.3674658674659,25
2022-5-01,CO,71.978021978022,13
2022-5-01,CR,83.3333333333333,4
2022-5-01,DO,65.0,8
2022-5-01,EC,83.4586466165414,6
2022-5-01,GP,33.3333333333333,3
2022-5-01,GT,70.0,3
2022-5-01,HN,85.7142857142857,4
2022-5-01,KY,75.0,2
2022-5-01,LC,75.0,2
2022-5-01,MQ,66.6666666666667,2
2022-5-01,MX,54.0540540540541,23
2022-5-01,PA,58.3333333333333,13
2022-5-01,PE,50.0,5
2022-5-01,PR,25.0,2
2022-5-01,PY,75.0,5
2022-5-01,TT,83.9285714285714,3
2022-5-01,UY,37.5,4
2022-5-01,VE,52.5132275132275,8
2022-7-01,AR,48.9532376225925,31
2022-7-01,BO,52.1885521885522,9
2022-7-01,BR,70.6749694749695,56
2022-7-01,BZ,100.0,3
2022-7-01,CL,60.0,25
2022-7-01,CO,75.0,13
2022-7-01,CR,53.3333333333333,4
2022-7-01,DO,66.6666666666667,8
2022-7-01,EC,97.3214285714286,6
2022-7-01,GP,33.3333333333333,3
2022-7-01,GT,70.0,3
2022-7-01,HN,87.5,4
2022-7-01,KY,75.0,2
2022-7-01,LC,75.0,2
2022-7-01,MQ,66.6666666666667,2
2022-7-01,MX,44.1176470588235,23
2022-7-01,PA,57.4634146341463,13
2022-7-01,PE,46.1538461538462,5
2022-7-01,PR,25.0,2
2022-7-01,PY,75.0,5
2022-7-01,TT,92.8571428571428,3
2022-7-01,UY,44.4444444444444,4
2022-7-01,VE,45.0980392156863,8
2022-8-01,AR,52.0536758563074,31
2022-8-01,BO,55.0,9
2022-8-01,BR,71.9402024730563,56
2022-8-01,BZ,100.0,3
2022-8-01,CL,53.4852216748768,25
2022-8-01,CO,78.5714285714286,13
2022-8-01,CR,69.2307692307692,4
2022-8-01,DO,69.5652173913043,8
2022-8-01,EC,100.0,6
2022-8-01,GP,33.3333333333333,3
2022-8-01,GT,72.7272727272727,3
2022-8-01,HN,87.5,4
2022-8-01,KY,75.0,2
2022-8-01,LC,79.1666666666667,2
2022-8-01,MQ,66.6666666666667,2
2022-8-01,MX,42.8571428571429,23
2022-8-01,PA,61.7753623188406,13
2022-8-01,PE,30.0,5
2022-8-01,PR,25.0,2
2022-8-01,PY,50.0,5
2022-8-01,TT,89.2857142857143,3
2022-8-01,UY,44.4444444444444,4
2022-8-01,VE,45.7983193277311,8
2022-9-01,AR,52.606721981722,31
2022-9-01,BO,38.8888888888889,9
2022-9-01,BR,72.2906083678441,56
2022-9-01,BZ,100.0,3
2022-9-01,CL,54.4117647058823,25
2022-9-01,CO,69.2307692307692,13
2022-9-01,CR,79.4466403162055,4
2022-9-01,DO,60.0,8
2022-9-01,EC,100.0,6
2022-9-01,GP,33.3333333333333,3
2022-9-01,GT,36.3636363636364,3
2022-9-01,HN,87.5,4
2022-9-01,KY,50.0,2
2022-9-01,LC,75.0,2
2022-9-01,MQ,100.0,2
2022-9-01,MX,42.3687423687424,23
2022-9-01,PA,64.6918221479625,13
2022-9-01,PE,46.1538461538462,5
2022-9-01,PR,25.0,2
2022-9-01,PY,50.0,5
2022-9-01,TT,78.5714285714286,3
2022-9-01,UY,40.0,4
2022-9-01,VE,32.8231292517007,8
2022-10-01,AR,58.5267094666839,31
2022-10-01,BO,33.3333333333333,9
2022-10-01,BR,72.7684407096172,56
2022-10-01,BZ,100.0,3
2022-10-01,CL,52.9195011337868,25
2022-10-01,CO,70.5882352941177,13
2022-10-01,CR,81.8181818181818,4
2022-10-01,DO,69.5652173913043,8
2022-10-01,EC,95.9821428571429,6
2022-10-01,GF,100.0,2
2022-10-01,GP,33.3333333333333,3
2022-10-01,GT,36.3636363636364,3
2022-10-01,HN,87.5,4
2022-10-01,KY,50.0,2
2022-10-01,LC,75.0,2
2022-10-01,MQ,100.0,2
2022-10-01,MX,47.0508658008658,23
2022-10-01,PA,70.7070707070707,13
2022-10-01,PE,46.1538461538462,5
2022-10-01,PR,25.0,2
2022-10-01,PY,50.0,5
2022-10-01,TT,100.0,3
2022-10-01,UY,37.5,4
2022-10-01,VE,36.734693877551,8
