servidor,anio,AR,BB,BO,BQ,BR,BZ,CL,CO,CR,CU,CW,DM,DO,EC,GF,GP,GT,GY,HN,HT,JM,KY,LC,MQ,MX,NI,PA,PE,PR,PY,SR,SV,TT,UY,VC,VE,VI
A,2012,194.327595238095,0.0,0.0,73.2182727272727,226.945886206897,74.0049558823529,177.38325,96.954359375,108.767666666667,0.0,84.7883782051282,0.0,113.557482758621,0.0,0.0,0.0,92.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.741928571429,0.0,0.0,0.0,244.959027522936,0.0,0.0,0.0
A,2013,207.530964015151,0.0,0.0,101.487761904762,205.480490463215,120.513891891892,179.192886462882,119.987544444444,115.85178,0.0,123.722928143713,0.0,83.8035975609756,106.724722222222,0.0,0.0,99.947,0.0,0.0,0.0,100.269166666667,90.29090625,0.0,0.0,67.581046184739,0.0,0.0,170.761166666667,0.0,232.430875,149.275833333333,0.0,0.0,236.832866666667,0.0,77.5898461538461,0.0
A,2014,199.484663585953,0.0,0.0,86.6769090909091,173.99922674219,85.7345714285714,167.695876760563,110.863669565217,96.3221466165414,147.014166666667,123.510781954887,0.0,98.7662971014493,117.194797297297,132.43264,87.1860058139535,93.7524288617886,0.0,90.0560833333334,0.0,82.6287698412698,64.4733444444444,0.0,111.322555555556,71.5859083333333,83.4160972222222,0.0,161.722044444444,82.36285,217.298222222222,89.1808333333333,65.30378125,118.603431818182,203.687780036134,0.0,94.9866707317073,59.186525
A,2015,194.258388759329,66.2515,116.6976625,0.0,168.372624927788,119.142,177.110232267323,95.9119920212766,105.4012,164.844370967742,125.898582677165,0.0,88.9777191464822,125.008212686567,150.354239130435,89.9311512935883,77.8407764705882,116.609392857143,93.2207254273505,0.0,96.3441626016261,63.125125,116.879875,92.8855135135135,66.6753538681948,91.2816333333333,125.762142857143,130.982591919192,95.7656126331811,216.958147540984,109.778663265306,91.9315956790124,115.585301136364,209.21835371179,0.0,69.863207977208,42.243130952381
A,2016,204.838049301242,86.0808888888889,161.474410958904,0.0,166.811536793184,115.671588235294,199.811467540574,90.4288137583893,96.102644,181.820271929825,111.766070866142,0.0,83.7969327830188,114.866616236162,127.401527777778,96.6721371681416,82.758255882353,108.991272727273,93.1385229591837,108.133625,82.7150677083333,66.3616666666667,99.1645714285714,92.7093653846154,74.587193287037,71.3683888888889,0.0,142.265045955882,79.5161278195488,226.13640530303,111.902148514851,80.9170236486486,111.418816831683,186.960322638146,79.2837666666667,83.8006831831832,87.6160576923077
A,2017,200.679885480572,93.9367644927536,180.745268518519,0.0,162.457590963376,121.518695833333,188.066579915878,125.475725423729,98.0998565022422,126.773857142857,104.922637614679,0.0,75.8394539748953,135.131920520231,120.50888372093,87.6595853658536,97.0437673267327,0.0,101.544005076142,0.0,70.2443382352941,60.8548586956522,115.027848484848,88.48540625,100.528778846154,89.8853157894737,105.325022580645,146.710441640379,79.4337904191617,218.819442857143,124.504576190476,111.184386956522,87.8567266666667,189.067374237805,112.556075,95.9886484375,126.915857142857
A,2018,193.240704311612,121.313632450331,179.570613249445,0.0,159.122482382855,103.11912,176.094483361775,102.136634948097,87.7293525073746,142.073666666667,100.52234939759,0.0,70.9705318237454,118.302791666667,131.252946428571,86.8057448979592,88.5552311320755,0.0,90.1343677419355,38.7641470588235,95.3359444444444,115.827966666667,129.115869047619,90.9423695652174,102.009626731302,139.0840875,88.8159637681159,160.01058419244,116.403111801242,232.55266988417,144.461336206897,55.8367083333333,98.7116428571429,181.247047263682,121.427723684211,90.5086311881187,56.0371730769231
A,2019,175.962564548663,70.6948496732026,166.508871830986,0.0,162.579612123894,111.534065550907,190.6059244,100.444929112554,78.3227764705883,96.2291785714286,105.919127906977,91.6776363636364,64.5511622257054,106.789135989011,104.612479166667,69.6572636363636,54.1165234375,0.0,69.9459153846154,23.7176086956522,0.0,103.131772727273,81.1129583333333,64.42825,79.6920341796875,52.54125,64.0103383084577,157.843605053192,63.1978319327731,226.570070564516,113.300606060606,31.6623961038961,77.506265060241,189.46094017094,92.75025,83.2489003623189,38.6653292682927
A,2020,175.773179289026,46.425688172043,186.71980228471,0.0,149.921502325582,124.674045833333,182.842248433304,86.2460436893204,70.2552007168459,58.1350729166667,70.5996477272727,55.9583709677419,49.9235884086444,88.7090974025974,113.578,91.3110281690141,65.5640082417582,83.7946666666667,49.3953706896552,20.6225,0.0,54.5532,77.4320471698113,76.6296323529412,60.6935877632897,53.300625,69.4517338709677,163.726193965517,49.314881443299,222.991034172662,99.1030147058824,34.6156666666667,59.2782604166667,152.627337954939,0.0,73.4770794871795,33.0223229166667
A,2021,173.49666416309,0.0,219.0222,0.0,138.256825652174,0.0,157.9329376,124.543530172414,59.5179064748201,48.683,0.0,0.0,33.6453969072165,91.8945061728395,0.0,0.0,73.9599,0.0,55.1939722222222,0.0,0.0,0.0,0.0,0.0,51.3858457446808,0.0,69.1565666666667,154.719502923977,32.8114210526316,194.834835106383,0.0,0.0,59.0055902777778,141.874619607843,0.0,52.8394900990099,34.2842083333333
