ASN,Holder,Country,UN Regions,UN Sub-Regions,RIR Regions,Filtering,Anti-spoofing,Coordination,Global Validation IRR,Global Validation RPKI
28326,Total Telecom LTDA-ME,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,1.0
28327,Reitec Fibra - M T Serv Inf Ltda.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
28328,EBR Informatica Ltda,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
28329,G8 NETWORKS LTDA,BR,Americas,Latin America and the Caribbean,LACNIC,0.88,1.0,1,1.0,1.0
28330,IFTNET Telecomunicacoes Ltda,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28332,BOA VISTA SERVICOS S.A.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28333,Local Datacenter Solucoes em Comunicacao Ltda.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28334,PROCESS SOLUTIONS TECNOLOGIA DA INFORMACAO LTDA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
28335,MAXCOMM LTDA EPP,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28336,Dekanet Comunicacao Multimidia Ltda.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28337,Buzz Telecom LTDA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28338,Net Botanic Internet Inteligente SA,BR,Americas,Latin America and the Caribbean,LACNIC,0.97,,1,1.0,1.0
28341,Westtelecom Telecomunicacoes Ltda,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28342,IMICRO PROVEDORES DE INTERNET LTDA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28343,Unifique Telecomunicacoes SA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
28344,FIDELITY NATIONAL PARTICIPACOES E SERVICOS DE INFO,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28346,IB TELECOMUNICACOES LTDA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28349,CABONNET INTERNET LTDA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28351,Claro NXT Telecomunicacoes Ltda,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28352,NETSPEED LTDA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,1.0,1,1.0,1.0
28356,Angellira Rastreamento Satelital Ltda,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28357,RBS ZERO HORA EDITORA JORNALISTICA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28358,INTERTELCO TELECOMUNICACOES MULTIMIDIA LTDA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28359,L M TIKO KAMIDE - SVA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28360,WKVE Asses. em Servicos de Inform. e Telecom. Ltda,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
28361,RR conect,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28362,Onda Internet,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
28364,ALPHASYS - SERVICOS E COMUNICACAO LTDA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28366,Marinter Telecom Ltda.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28368,SOBRALNET SERVICOS E TELECOMUNICACOES LTDA - ME,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.36,0.99
28369,SIGNALLINK INFORMATICA LTDA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28370,GUIFAMI Informatica Ltda.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
28371,Gobierno del Estado de Guanajuato,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.0,0.0
28372,Neoris de Mexico,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28373,Bajanet Comunicaciones,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28374,Expansion S.A. de C.V.,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28375,Cydsa Corporativo,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.67,0.0
28376,Gigacable de Aguascalientes,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28378,TV Rey de Occidente,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.97,0.0
28381,Grupo Hidalguense de Desarrollo,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28382,Universidad Iberoamericana,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28383,Instituto Jalisciense de Tecnologias de la Informacion A.C.,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.8,0.0
28387,Computadoras y Servicios Especiales SA de CV,MX,Americas,Latin America and the Caribbean,LACNIC,0.93,,1,1.0,0.0
28390,Universidad Autonoma de Nayarit,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.8,0.0
28391,Universidad Juarez Autonoma de Tabasco,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28392,Secretaria de la Hacienda Publica,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28393,Integracion de Servicios y Tecnologia SA de CV,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28394,Bicentel SA de CV,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28395,UST GLOBAL DE MEXICO SA DE CV,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28396,AITelecom S.A. de C.V.,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.75
28397,Jobnetworks de Mexico,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
28398,INTERNET TELEFONIA Y TV DE MICHOACAN SA DE CV,MX,Americas,Latin America and the Caribbean,LACNIC,0.95,,1,1.0,0.48
28399,BTU Comunicacion SA de CV,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.83,0.0
28400,SECRETARIA DE COMUNICACIONES Y TRANSPORTES COORDINACION DE LA SOCIEDAD DE LA INFORMACION Y EL CONOCI,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28403,RadioMovil Dipsa,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.0,0.0
28404,Telefonia por Cable,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28405,Spectro Networks Telecomunicaciones,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28406,Grupo Nacional Provincial,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28407,KBEST TECHNOLOGIES DE MEXICO SA DE CV,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28408,Gdlicanet,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
28409,ENI NETWORKS SAPI de CV,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.08
28411,Aire Cable S.A. de C.V.,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28412,Uninet S.A. de C.V.,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.0,0.0
28414,TOTAL PLAY TELECOMUNICACIONES SA DE CV,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.1,0.0
28415,Grupo de Telecomunicaciones Mexicanas,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
28417,Universidad Autonoma de Chiapas,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.9,0.0
28418,NUEVA RED INTERNET DE MEXICO S DE RL DE CV,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28419,Senal Interactiva,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28420,ULTRAVISION SA DE CV,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28421,Farmacias de Similares S.A de C.V,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28423,Truxgo S. de R.L de C.V,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
28424,DISTROKOM S DE RL DE CV,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28425,Convergencia Inalambrica S.A. de C.V.,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.8,0.0
28428,INTERPHONET TELECOM,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28429,Enlace de Datos y Redes SA de CV,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28431,RAUL DUARTE URITA,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28432,Telecable del Mineral,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.57,0.0
28433,Doornet sa de cv,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28434,CEDSAMOVIL SA DE CV,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28435,JAVIER TAMAYO GARCIA,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28436,Konecta Sonora SA de CV,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28438,ATC HOLDING FIBRA MEXICO,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28439,Mediared Telecomunicaciones S.A de C.V.,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.0,0.0
28440,INPRO TELECOM SA DE CV,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
28443,EDGEUNO MEXICO SA DE CV,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.0,0.0
28445,TECNOLOGIA EN TELECOMUNICACIONES DEL CENTRO S.A. DE C.V,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.0,0.0
28446,NUEVA WAL MART DE MEXICO,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28448,FABRICA DE PAPEL SAN FRANCISCO,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28449,Home Interiors de Mexico S. de R.L. de C.V.,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.0,0.0
28453,GK TELECOMUNICACIONES SA DE CV,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28454,Servicios DR de Mexico SA de CV,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28457,UNIVERSIDAD LATINOAMERICANA,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28458,IENTC S DE RL DE CV,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.5
28460,ASESORIA DE EMPRESAS S.A. DE C.V.,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.0,0.0
28466,La Torre del Vigia A.R.,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.5,0.0
28469,AT&T COMUNICACIONES DIGITALES S DE RL,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.86,0.0
28475,Fomento Economico Mexicano S. A. de C. V.,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28476,Aeropuerto Internacional de la Ciudad de Mexico,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28477,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28478,Escuela Bancaria y Comercial,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28480,Industrias Xignux,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28481,SERVICIO Y EQUIPO EN TELEFONIA INTERNET Y TV S.A. DE C.V.,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.0,0.0
28492,Softtek Servicios Corporativos,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.88,0.0
28493,Universidad Pedagogica Nacional,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28494,Corporacion Nacional de Radiodeterminacion S.A. de C.V.,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
28496,Network Information Center Mexico,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.0,0.0
28498,Network Information Center Mexico,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28499,Network Information Center Mexico,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28500,Network Information Center Mexico,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28502,Alestra Innovacion Digital S de RL de CV,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.54,0.0
28503,GSAT COMUNICACIONES SA DE CV,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28504,Network Information Center Mexico,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
28505,Universidad Regiomontana,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28506,Sistemas de Communicacion GM S.A. de C.V.,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.96,0.0
28509,Cablemas Telecomunicaciones SA de CV,MX,Americas,Latin America and the Caribbean,LACNIC,0.93,,1,0.96,0.01
28512,Cablemas Telecomunicaciones SA de CV,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.91,0.0
28513,Uninet S.A. de C.V.,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.11,0.0
28514,Abastecedora de Conectividad,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28515,Servicios Electronicos Globales,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28517,TV Azteca,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28519,Universidad Autonoma de Guadalajara,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28520,Omnilife de Mexico,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28521,AT&T COMUNICACIONES DIGITALES S DE RL,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28523,Cablevision Red,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.0,0.0
28524,Imatech Networks,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.97,0.0
28525,TV Cable de Oriente,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.0,0.0
28526,Universidad Autonoma del Estado de Mexico,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28529,Red Five Two,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28530,Mexico Red de Telecomunicaciones,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.8,0.0
28531,Mexico Red de Telecomunicaciones,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.83,0.0
28532,Mexico Red de Telecomunicaciones,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.75,0.0
28533,Mexico Red de Telecomunicaciones,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28534,Mexico Red de Telecomunicaciones,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.45,0.0
28535,Mexico Red de Telecomunicaciones,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.57,0.0
28536,Mexico Red de Telecomunicaciones,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.88,0.0
28537,Mexico Red de Telecomunicaciones,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.33,0.0
28538,Cablemas Telecomunicaciones SA de CV,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.29,0.0
28539,Creatividad Internet Enlaces,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.95,0.89
28540,Network Information Center Mexico,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28541,Mega Cable,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.36,0.0
28543,Mexico Red de Telecomunicaciones,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.0,0.0
28544,Mexico Red de Telecomunicaciones,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.15,0.0
28545,Cablemas Telecomunicaciones SA de CV,MX,Americas,Latin America and the Caribbean,LACNIC,0.93,,1,1.0,0.0
28546,Servnet Mexico,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.97,0.0
28547,Home Depot Mexico,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28548,Cablevision,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.8,0.0
28549,Cable y Comunicacion de Campeche,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28550,Uninet S.A. de C.V.,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
28551,SERVICIOS ADMINISTRATIVOS WALMART S DE RL DE CV,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28552,Axess Net. Solutions Mexico,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28553,Mabe,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28554,Cablemas Telecomunicaciones SA de CV,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.22,0.0
28555,Cablemas Telecomunicaciones SA de CV,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.95,0.0
28556,Cablemas Telecomunicaciones SA de CV,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.44,0.0
28560,Arnecom,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28561,Micronet de Mexico,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28563,Instituto Nacional de Salud Publica,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.0,0.0
28567,Operadora de Rastreos UDA,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28570,Ryder Capital,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28571,UNIVERSIDADE DE SAO PAULO,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28572,Apoiocom Digital Ltda - EPP,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28573,Claro NXT Telecomunicacoes Ltda,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,1.0,1,0.98,0.0
28576,ITIBR - Instituto de Tecnologia Informacao Brasil,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,1.0
28577,AZEVEDO E FLORIANI TELECOMUNICACOES LTDA.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28579,Fundacao Universidade do Sul de Santa Catarina,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28580,CILNET Comunicacao e Informatica LTDA.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28581,Banco Santander Brasil S.A.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28582,COMPULAND INFORMATICA LTDA. M.E.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28583,RuralWeb Telecomunicacoes Ltda,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,0.95,0.0
28584,Defferrari Solucoes em Internet Ltda,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
28585,NLINK Comercio e Servicos Ltda,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28586,BANCO BRADESCO SA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28587,RadNet Telecom,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28588,LEVEL UP! INTERACTIVE LTDA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28589,Convex Internet Solutions,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28590,Directnet Prestacao de Servicos Ltda.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28591,METRO TELECOMUNICACOES SA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28592,FastSoft Informatica Ltda,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28593,Hisecur Security Solution Ltda,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,0.0,0.0
28594,All Net Informatica Ltda,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
28595,GetNet Adquirencia e Servicos para Meios de Pagame,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28596,B3 S.A. Brasil,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28597,SERASA S.A,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,0.0,0.0
28598,MOB SERVICOS DE TELECOMUNICACOES S.A.,BR,Americas,Latin America and the Caribbean,LACNIC,0.84,,1,1.0,0.39
28599,Italnet Telecomunicacoes Ltda,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28601,UNIVERSIDADE DO ESTADO DE SANTA CATARINA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28602,CENTRO DE PROC. DE DADOS DO ESTADO DE MATO GROSSO,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28603,STIHL Ferramentas Motorizadas LTDA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28604,Globo Comunicacao e Participacoes SA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.0,0.0
28605,Defferrari Informatica Ltda.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
28606,FSOnline Internet,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.56
28609,Instituto Nupef,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28610,DEBIAN SIGNAL COMUNICACAO MULTIMIDIA LTDA ME,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.89,0.0
28613,HUGHES TELECOMUNICACOES DO BRASIL LTDA.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,1.0,0,0.96,0.0
28614,Fundacao Universidade Regional de Blumenau,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28615,Televisao Cidade SA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28616,Emp. de Informatica e Informacao do Mun. BHSA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28618,Linktel Telecom do Brasil Ltda,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28619,TAM Linhas Aereas SA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28620,WI - Provedor de Telecomunicacoes Ltda.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28621,NetOeste Telecomunicacoes Ltda,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28623,PONTIFICIA UNIVERSID CATOLICA DO RIO GRANDE DO SUL,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28624,PROVEDORA CMA INTERNET LTDA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28626,Dimension Data Brasil Tecnologia da Informacao,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28627,EMBRAER - Empresa Brasileira de Aeronautica SA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28628,ERICSSON TELECOMUNICACOES S.A.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,0.0,0.0
28629,SENADO FEDERAL,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28630,Ascenty Data Centers e Telecomunicacoes SA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28631,Banrisul - Banco do Estado do Rio Grande do Sul,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28634,Life Tecnologia Ltda.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
28635,Titania Telecom,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,1.0
28636,CDI TELECOM,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28637,Cia Proc. de Dados do Estado de S Paulo - Prodesp,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,0.85,0.0
28638,CENTRO OESTE TELECOM,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28639,LocalNet Network,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28640,VIPWay Telecomunicacoes Ltda,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28641,EBF VAZ INDUSTRIA E COMERCIO LTDA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,0.0,0.0
28642,Contato Internet EIRELI,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
28644,Brasilsite Telecomunicacoes Ltda.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,0.0,0.0
28645,Itapecerica On-Line Telecomunicacoes e Informatica,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28646,Confederacao Int. das Coop. Ligadas ao SICREDI,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28647,GIGA TV LTDA - EPP,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28649,Desktop Sigmanet Comunicacao Multimidia SA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28650,Lojas Simonetti Ltda,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28652,Telecomunicacoes Nordeste Ltda.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
28653,WNET INTERNET LTDA.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28654,Axtelecom Ltda,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
28656,Blink Telecom,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
